"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0034110","regulation of homotypic cell-cell adhesion","3/111","30/18866",0.000716802791951648,0.00904780666983866,0.00694089921529979,"3956/4067/928",3
"BP","GO:0022604","regulation of cell morphogenesis","10/111","499/18866",0.000726034402360399,0.0091178127484245,0.00699460340612236,"3815/301/5880/26230/80005/91010/391/1399/960/8829",10
"BP","GO:0030218","erythrocyte differentiation","5/111","121/18866",0.000744701516145326,0.00927549155660212,0.00711556451370192,"2624/3815/4067/7538/3718",5
"BP","GO:0051924","regulation of calcium ion transport","7/111","253/18866",0.000746088447762256,0.00927549155660212,0.00711556451370192,"5023/1535/8832/4067/6548/5777/3958",7
"BP","GO:0002828","regulation of type 2 immune response","3/111","31/18866",0.000790218219416028,0.00963054125534608,0.00738793595855379,"301/5914/3566",3
"BP","GO:0008045","motor neuron axon guidance","3/111","31/18866",0.000790218219416028,0.00963054125534608,0.00738793595855379,"5880/391/8829",3
"BP","GO:0050858","negative regulation of antigen receptor-mediated signaling pathway","3/111","31/18866",0.000790218219416028,0.00963054125534608,0.00738793595855379,"11314/5777/3958",3
"BP","GO:2000515","negative regulation of CD4-positive, alpha-beta T cell activation","3/111","31/18866",0.000790218219416028,0.00963054125534608,0.00738793595855379,"301/3718/3566",3
"BP","GO:0032496","response to lipopolysaccharide","8/111","334/18866",0.000806638593198555,0.00978246999790797,0.00750448598316303,"1439/5724/4129/4615/4067/7431/7538/5914",8
"BP","GO:0043409","negative regulation of MAPK cascade","6/111","187/18866",0.000837705809320613,0.0101096788890693,0.00775549973917877,"11314/5788/54900/4067/5777/10318",6
"BP","GO:0061515","myeloid cell development","4/111","72/18866",0.00085834862225859,0.0103085169488726,0.00790803559495267,"2313/3815/5777/5305",4
"BP","GO:0032673","regulation of interleukin-4 production","3/111","32/18866",0.000868246783285363,0.0103770171103768,0.00796058454240279,"2207/54440/5914",3
"BP","GO:0050727","regulation of inflammatory response","9/111","425/18866",0.000915261763926907,0.0108863346343998,0.00835130040668124,"5788/2207/695/301/4615/4067/240/10318/8737",9
"BP","GO:0006816","calcium ion transport","9/111","426/18866",0.000930486516718389,0.0110144671883316,0.00844959551570514,"5788/5579/5023/1535/8832/4067/6548/5777/3958",9
"BP","GO:0045637","regulation of myeloid cell differentiation","7/111","263/18866",0.000935920783764654,0.0110185384872637,0.00845271875613177,"5579/2624/4067/3958/7538/5914/8737",7
"BP","GO:0043405","regulation of MAP kinase activity","8/111","342/18866",0.000939737922721361,0.0110185384872637,0.00845271875613177,"11314/5788/3815/54900/4067/5777/1399/8737",8
"BP","GO:0045920","negative regulation of exocytosis","3/111","33/18866",0.000950999982082835,0.0110979903569478,0.00851366915439599,"11314/301/8832",3
"BP","GO:0007596","blood coagulation","8/111","343/18866",0.000957546093818788,0.0111219203573131,0.00853202672179527,"5579/2207/3937/2624/5023/4067/5777/928",8
